,distance
ELK1,0.07907083782914455
YY1,0.11885656980448739
NFYB,0.13008635534905255
GABPA,0.13904548299582184
RFX5,0.14583140458665816
BHLHE40,0.14868944332459047
IKZF1,0.15143087688587847
SPI1,0.16238301439615616
FOS,0.16240881618741995
E2F4,0.16358713724264587
USF2,0.16436351337837693
ETS1,0.17215528405294697
PML,0.17353487458011935
NR2C2,0.1756769406654194
CHD2,0.1855685450799393
TBP,0.18683625977683688
MAFK,0.19197389032516926
MLLT1,0.19198287377188594
POLR2AphosphoS2,0.19417767155001586
ZBTB40,0.19765548293989443
TBL1XR1,0.19794558884880536
EGR1,0.20156151444337045
SIX5,0.20360409862183967
POLR3G,0.2036248830730532
JUND,0.20373043945860653
TARDBP,0.20765842026708686
ZNF143,0.21432133679775697
SP1,0.2175333537819887
CEBPZ,0.22258525648747066
MTA2,0.23020555068581983
USF1,0.23330633722912664
UBTF,0.2339745086710941
SMAD5,0.23897669106876265
HDGF,0.2512769454651253
NBN,0.2514166703403475
SRF,0.2586912355347222
MEF2A,0.26052057793806566
NFYA,0.2608895343078658
NRF1,0.2621697032042276
CTCF,0.26622024616819323
REST,0.2703803752077617
ETV6,0.27605052117220613
RAD21,0.2812843207571205
ELF1,0.2888224991221882
MXI1,0.2919472368521184
SIN3A,0.29319247663049014
MAZ,0.29343276221718834
JUNB,0.302653282294172
YBX1,0.30378611738579325
STAT5A,0.31501036037272634
BCLAF1,0.32964695638341895
SUZ12,0.33301765785894366
POLR2AphosphoS5,0.33600288771793835
RCOR1,0.35137496577507343
NFE2,0.3528687281123445
ATF3,0.3706648399033053
CHD1,0.37688483541217865
MYC,0.38604117938593013
EP300,0.40355849315472314
ZBED1,0.40800496408539755
MAX,0.42950105245889936
EZH2,0.44069428961022766
TAF1,0.4613001300194677
ZBTB33,0.4868748152402971
SMC3,0.49395490594743346
CEBPB,0.5080875063362184
CBX5,0.5105457958025894
POLR2A,0.5110388960421086
ZNF274,0.6623212357937529
