,distance
SUZ12,0.0540296920795419
EGR1,0.06360389734853245
USF2,0.07486597275175083
TAF1,0.07802916646388787
POLR2AphosphoS5,0.11728056473177621
UBTF,0.12272831167702744
POLR2AphosphoS2,0.12659022084199562
RAD21,0.12786664546726137
ATF3,0.13054464695010065
CBX5,0.1371515033146623
TBP,0.1385769484767529
REST,0.1436393829143282
STAT5A,0.15038565915774657
MAX,0.1548721937887874
MAFK,0.15573028143883402
ELF1,0.16723605967670818
POLR2A,0.16745624091763806
FOS,0.17193008824170897
CTCF,0.1719705299242976
USF1,0.17446734100744568
MTA2,0.1761906549453621
YY1,0.19066414366395074
NRF1,0.19109457617807055
SIX5,0.19600080017695384
NR2C2,0.19850407830287864
ZBTB40,0.20128442745497324
NFYB,0.20348239433875212
MEF2A,0.21419779813367126
CHD1,0.22001310018863401
CHD2,0.22365571186110064
ZNF143,0.2266347609460476
PML,0.2276771888690307
BCLAF1,0.22838912901246392
SPI1,0.23015571628383616
GABPA,0.23785680859881866
JUND,0.24496048680166255
NBN,0.24526095795422573
BHLHE40,0.24637750146872228
MLLT1,0.24704783920131163
POLR3G,0.2511836022278029
CEBPB,0.26469501649753285
ETV6,0.2704805919841461
ZBED1,0.27784503690750767
RFX5,0.2785507179963122
HDGF,0.28470681411947596
SRF,0.2859529509545612
NFE2,0.2966577942525874
MAZ,0.3081151119988682
ELK1,0.3136926612219595
CEBPZ,0.3165126463502202
NFYA,0.327272145872337
SMAD5,0.3377273234559178
MXI1,0.3409473087826523
IKZF1,0.34464408444106165
MYC,0.3505583068452484
ZBTB33,0.3513618147152396
E2F4,0.3537869160090551
ETS1,0.35639520790322465
JUNB,0.368828448646395
EP300,0.37111476311859287
EZH2,0.39936238677823066
RCOR1,0.40957894830586083
SMC3,0.4308260847115171
TBL1XR1,0.4431336733262606
SP1,0.4760605635417175
TARDBP,0.4814950311762405
YBX1,0.5087737921060064
ZNF274,0.521530986871577
SIN3A,0.601350786325994
